rollout/ep_len_mean,rollout/exploration_rate,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,status,time/episodes,train/loss,train/dqn_loss,train/n_updates,train/cql_loss,train/learning_rate
69.0,0.9934450000000004,69,4,-506.058171,14,-1.0,1,,,,,
131.0,0.981,200,4,-507.52615,40,-1.0,2,,,,,
25.0,0.9786250000000003,225,4,-502.577546,46,-1.0,3,9.813142776489258,8.123408317565918,24,1.689734935760498,0.0001
440.0,0.9368249999999996,665,4,-530.180243,134,-1.0,4,1.5341702699661255,0.027772989124059677,464,1.5063972473144531,0.0001
56.0,0.9315049999999996,721,4,-504.946331,145,-1.0,5,5.45772647857666,3.934560537338257,520,1.5231660604476929,0.0001
121.0,0.9200100000000002,842,4,-512.47193,170,-1.0,6,1.5695403814315796,0.03359614312648773,641,1.5359442234039307,0.0001
105.0,0.9100350000000003,947,4,-509.63611,191,-1.0,7,1.5494920015335083,0.03700178489089012,746,1.5124902725219727,0.0001
140.0,0.8967349999999996,1087,4,496.818691,219,1.0,8,5.46766471862793,3.942964553833008,886,1.524700403213501,0.0001
6.0,0.8961650000000001,1093,4,-500.500202,221,-1.0,9,5.462734222412109,3.942596912384033,892,1.5201373100280762,0.0001
122.0,0.8845750000000001,1215,4,-508.725681,245,-1.0,10,9.395843505859375,7.85011625289917,1014,1.5457267761230469,0.0001
222.0,0.8634850000000001,1437,4,-513.257675,290,-1.0,11,9.348777770996094,7.840184688568115,1236,1.5085928440093994,0.0001
