time/fps,rollout/exploration_rate,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_len_mean,status,train/loss,train/learning_rate,train/n_updates
4,0.9974350000000001,-85.2438,27,5,1,27.0,-1.0,,,
4,0.9924950000000003,-569.610884,79,16,2,52.0,-1.0,,,
4,0.9715949999999995,-2328.250118,299,60,3,220.0,-1.0,,,
4,0.9601000000000002,-40.273919,420,85,4,121.0,-1.0,,,
4,0.9424300000000004,-10095.634856,606,122,5,186.0,-1.0,,,
4,0.9399600000000001,-380.28602,632,128,6,26.0,-1.0,,,
4,0.9380600000000003,-156.031213,652,132,7,20.0,-1.0,,,
4,0.9336900000000001,422.53008,698,141,8,46.0,1.0,,,
4,0.9132650000000002,-598.087213,913,185,9,215.0,-1.0,,,
4,0.9064249999999998,-375.012938,985,199,10,72.0,-1.0,,,
4,0.9039550000000005,-207.694846,1011,205,11,26.0,-1.0,,,
4,0.8964499999999999,577.859661,1090,221,12,79.0,1.0,,,
4,0.8830549999999996,-54.13027,1231,249,13,141.0,-1.0,,,
4,0.8822949999999999,-236.976057,1239,251,14,8.0,-1.0,,,
4,0.8705149999999997,-1364.563443,1363,276,15,124.0,-1.0,,,
4,0.8640549999999996,-445.392388,1431,290,16,68.0,-1.0,,,
4,0.8530350000000002,69.084448,1547,313,17,116.0,-1.0,,,
4,0.8397349999999996,28.400563,1687,341,18,140.0,-1.0,,,
4,0.8396399999999999,-200.0,1688,342,19,1.0,-1.0,,,
4,0.8253900000000005,-177.482133,1838,372,20,150.0,-1.0,,,
4,0.8174099999999999,-967.396693,1922,389,21,84.0,-1.0,,,
4,0.8166500000000002,-215.960892,1930,391,22,8.0,-1.0,,,
4,0.8144649999999996,-250.083598,1953,396,23,23.0,-1.0,,,
4,0.8079099999999999,-546.744665,2022,410,24,69.0,-1.0,,,
4,0.7968900000000004,-43.871273,2138,433,25,116.0,-1.0,,,
4,0.7954649999999995,-203.024433,2153,437,26,15.0,-1.0,,,
4,0.789575,-842.541408,2215,449,27,62.0,-1.0,,,
4,0.7868199999999999,-311.498769,2244,455,28,29.0,-1.0,,,
4,0.7848250000000005,-146.718371,2265,460,29,21.0,-1.0,,,
4,0.7749450000000001,-842.131457,2369,481,30,104.0,-1.0,,,
4,0.7541399999999999,-1469.866428,2588,525,31,219.0,-1.0,,,
4,0.7361850000000004,-1146.910794,2777,563,32,189.0,-1.0,,,
4,0.7302000000000002,-671.104394,2840,576,33,63.0,-1.0,,,
4,0.7279200000000001,-280.974822,2864,581,34,24.0,-1.0,,,
4,0.7084450000000001,-1303.634566,3069,622,35,205.0,-1.0,,,
4,0.6995149999999996,-196.095895,3163,641,36,94.0,-1.0,,,
4,0.6935300000000004,-58.143638,3226,654,37,63.0,-1.0,,,
4,0.6787100000000004,-226.407081,3382,685,38,156.0,-1.0,,,
4,0.6752900000000002,355.166283,3418,693,39,36.0,1.0,,,
4,0.6526799999999997,-851.225245,3656,741,40,238.0,-1.0,,,
4,0.6440349999999999,-460.116473,3747,759,41,91.0,-1.0,,,
4,0.6352000000000001,-320.99141,3840,778,42,93.0,-1.0,,,
4,0.6327299999999998,-318.757231,3866,783,43,26.0,-1.0,,,
4,0.6248449999999999,-825.902307,3949,800,44,83.0,-1.0,,,
4,0.6046100000000001,-622.734133,4162,843,45,213.0,-1.0,,,
4,0.5816200000000004,-547.395625,4404,892,46,242.0,-1.0,,,
4,0.5809550000000001,-242.118129,4411,893,47,7.0,-1.0,,,
4,0.5788650000000002,-280.910848,4433,898,48,22.0,-1.0,,,
4,0.5721200000000003,506.363602,4504,912,49,71.0,1.0,,,
4,0.5659449999999999,61.434224,4569,926,50,65.0,-1.0,,,
4,0.55179,-419.943122,4718,956,51,149.0,-1.0,,,
4,0.5334550000000001,-3105.200279,4911,994,52,193.0,-1.0,,,
4,0.5218650000000002,108.028848,5033,1019,53,122.0,-1.0,,,
4,0.519585,-247.936745,5057,1024,54,24.0,-1.0,,,
4,0.5155950000000002,-249.093207,5099,1033,55,42.0,-1.0,,,
4,0.48852000000000007,-754.505256,5384,1090,56,285.0,-1.0,,,
4,0.4842450000000006,-180.617688,5429,1099,57,45.0,-1.0,,,
4,0.4740800000000004,177.955877,5536,1121,58,107.0,-1.0,,,
4,0.4669550000000001,-498.191238,5611,1136,59,75.0,-1.0,,,
4,0.4396899999999998,-1122.229164,5898,1194,60,287.0,-1.0,,,
4,0.4223049999999997,-1019.487025,6081,1231,61,183.0,-1.0,,,
4,0.4208799999999999,-137.999518,6096,1234,62,15.0,-1.0,,,
4,0.41993,-147.44871,6106,1236,63,10.0,-1.0,,,
4,0.412045,-445.217778,6189,1253,64,83.0,-1.0,,,
4,0.40358999999999945,-207.443405,6278,1271,65,89.0,-1.0,,,
4,0.39817499999999995,-566.939306,6335,1283,66,57.0,-1.0,,,
4,0.39295000000000047,-632.738179,6390,1294,67,55.0,-1.0,,,
4,0.3906700000000003,-375.698229,6414,1299,68,24.0,-1.0,,,
4,0.3897200000000004,230.928432,6424,1301,69,10.0,1.0,,,
4,0.3767050000000005,-247.389982,6561,1329,70,137.0,-1.0,,,
4,0.35010500000000044,209.872383,6841,1385,71,280.0,-1.0,,,
4,0.34868000000000055,-287.507362,6856,1388,72,15.0,-1.0,,,
4,0.33756500000000045,644.396158,6973,1412,73,117.0,1.0,,,
4,0.33177000000000056,-367.709726,7034,1424,74,61.0,-1.0,,,
4,0.32986999999999955,-296.507385,7054,1429,75,20.0,-1.0,,,
4,0.3251200000000001,-124.301181,7104,1439,76,50.0,-1.0,,,
4,0.3237899999999999,-238.523802,7118,1442,77,14.0,-1.0,,,
4,0.3189449999999998,-247.798294,7169,1452,78,51.0,-1.0,,,
4,0.3140999999999996,431.606295,7220,1463,79,51.0,1.0,,,
4,0.30650000000000055,-497.877916,7300,1479,80,80.0,-1.0,,,
4,0.2954800000000001,-216.738466,7416,1502,81,116.0,-1.0,,,
4,0.2945300000000002,254.445696,7426,1504,82,10.0,1.0,,,
4,0.29186999999999963,-288.469899,7454,1510,83,28.0,-1.0,,,
4,0.2907300000000006,-226.902913,7466,1513,84,12.0,-1.0,,,
4,0.27990000000000026,-404.024431,7580,1536,85,114.0,-1.0,,,
4,0.2782850000000002,290.149004,7597,1540,86,17.0,1.0,,,
4,0.27496000000000065,-188.037354,7632,1547,87,35.0,-1.0,,,
4,0.2668850000000005,-242.551049,7717,1564,88,85.0,-1.0,,,
4,0.2621349999999999,4.92284,7767,1574,89,50.0,-1.0,,,
4,0.26099499999999987,-288.226147,7779,1577,90,12.0,-1.0,,,
4,0.25073500000000015,-899.945601,7887,1599,91,108.0,-1.0,,,
4,0.2354400000000001,28.084455,8048,1631,92,161.0,-1.0,,,
4,0.23382500000000017,-230.706857,8065,1635,93,17.0,-1.0,,,
4,0.21235499999999974,-85978.503382,8291,1680,94,226.0,-1.0,,,
4,0.2117850000000001,-231.53233,8297,1682,95,6.0,-1.0,,,
4,0.20769999999999977,-689.949708,8340,1691,96,43.0,-1.0,,,
4,0.1855650000000003,-856.92392,8573,1737,97,233.0,-1.0,,,
4,0.1830949999999999,-388.633152,8599,1743,98,26.0,-1.0,,,
4,0.1806250000000006,-414.047254,8625,1748,99,26.0,-1.0,,,
4,0.16381000000000023,-618.283555,8802,1784,100,177.0,-1.0,,,
4,0.16352500000000048,-210.344809,8805,1785,101,3.0,-1.0,,,
4,0.1597249999999999,-480.969141,8845,1793,102,40.0,-1.0,,,
4,0.13920500000000047,-845.541902,9061,1836,103,216.0,-1.0,,,
4,0.12210500000000013,69.245395,9241,1873,104,180.0,-1.0,,,
4,0.11783000000000055,410.919332,9286,1882,105,45.0,1.0,,,
4,0.1078550000000007,1.485527,9391,1903,106,105.0,-1.0,,,
4,0.10462500000000063,-465.303602,9425,1910,107,34.0,-1.0,,,
4,0.0884750000000003,-653.693337,9595,1944,108,170.0,-1.0,,,
4,0.08752500000000041,-179.67433,9605,1947,109,10.0,-1.0,,,
4,0.07622000000000018,186.082837,9724,1971,110,119.0,-1.0,,,
4,0.07612499999999955,-200.0,9725,1971,111,1.0,-1.0,,,
4,0.05617499999999964,-797.870764,9935,2013,112,210.0,-1.0,,,
4,0.05123500000000003,-88.608678,9987,2024,113,52.0,-1.0,,,
4,0.05,-210.162722,10037,2034,114,50.0,-1.0,11.123570442199707,0.0001,36
4,0.05,151.06525,10537,2135,115,500.0,0.0,28.76232147216797,0.0001,536
4,0.05,318.802166,11037,2235,116,500.0,0.0,6.524791717529297,0.0001,1036
4,0.05,62.765255,11537,2335,117,500.0,0.0,21.117416381835938,0.0001,1536
4,0.05,585.451587,12037,2436,118,500.0,0.0,5.852725982666016,0.0001,2036
4,0.05,248.42818,12537,2536,119,500.0,0.0,18.828887939453125,0.0001,2536
4,0.05,255.78042,13037,2636,120,500.0,0.0,5.9449615478515625,0.0001,3036
4,0.05,381.760268,13537,2737,121,500.0,0.0,38.849037170410156,0.0001,3536
4,0.05,-183.347992,13543,2738,122,6.0,-1.0,20.099353790283203,0.0001,3542
4,0.05,385.833373,14043,2838,123,500.0,0.0,6.0684099197387695,0.0001,4042
4,0.05,288.456932,14543,2939,124,500.0,0.0,6.030632495880127,0.0001,4542
4,0.05,275.713571,15043,3039,125,500.0,0.0,20.64630889892578,0.0001,5042
4,0.05,742.831752,15158,3062,126,115.0,1.0,8.039368629455566,0.0001,5157
4,0.05,691.140963,15288,3088,127,130.0,1.0,10.45720100402832,0.0001,5287
4,0.05,339.770452,15788,3189,128,500.0,0.0,6.882112503051758,0.0001,5787
4,0.05,518.335637,15846,3201,129,58.0,1.0,6.951234340667725,0.0001,5845
4,0.05,585.230492,16346,3301,130,500.0,0.0,8.787223815917969,0.0001,6345
4,0.05,586.849751,16448,3322,131,102.0,1.0,13.896764755249023,0.0001,6447
4,0.05,438.197445,16948,3422,132,500.0,0.0,7.777889728546143,0.0001,6947
4,0.05,335.790019,17448,3522,133,500.0,0.0,8.033965110778809,0.0001,7447
4,0.05,568.488244,17540,3541,134,92.0,1.0,4.145403861999512,0.0001,7539
4,0.05,680.844747,17652,3563,135,112.0,1.0,11.34774398803711,0.0001,7651
4,0.05,239.140318,18152,3664,136,500.0,0.0,9.010374069213867,0.0001,8151
4,0.05,631.814819,18652,3764,137,500.0,0.0,3.4301421642303467,0.0001,8651
4,0.05,168.873688,19152,3864,138,500.0,0.0,4.066252708435059,0.0001,9151
4,0.05,234.86073,19652,3965,139,500.0,0.0,3.333205223083496,0.0001,9651
4,0.05,634.647014,19736,3982,140,84.0,1.0,4.7645263671875,0.0001,9735
4,0.05,697.122467,19846,4004,141,110.0,1.0,3.485713005065918,0.0001,9845
4,0.05,413.597587,20346,4104,142,500.0,0.0,3.716597557067871,0.0001,10345
4,0.05,62.453713,20846,4205,143,500.0,0.0,3.873321056365967,0.0001,10845
4,0.05,335.443833,21346,4305,144,500.0,0.0,3.918552875518799,0.0001,11345
4,0.05,23.378243,21846,4405,145,500.0,0.0,3.9678308963775635,0.0001,11845
4,0.05,302.891706,21863,4409,146,17.0,1.0,3.7671618461608887,0.0001,11862
4,0.05,360.701547,22363,4509,147,500.0,0.0,3.7030880451202393,0.0001,12362
4,0.05,-142.697125,22374,4512,148,11.0,-1.0,4.328781604766846,0.0001,12373
