time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,status,time/fps,rollout/exploration_rate,time/time_elapsed,train/cql_loss,train/dqn_loss,train/loss,train/n_updates,train/learning_rate
1,-502.305365,27.0,27,-1.0,4,0.9974350000000001,5,,,,,
2,-505.482987,27.0,54,-1.0,4,0.9948700000000001,11,,,,,
3,-502.738664,14.0,68,-1.0,4,0.9935399999999999,14,,,,,
4,-502.644535,23.0,91,-1.0,4,0.9913550000000003,19,,,,,
5,-502.556873,13.0,104,-1.0,4,0.9901199999999997,22,,,,,
6,-507.441447,106.0,210,-1.0,4,0.9800500000000001,43,,,,,
7,-501.861312,12.0,222,-1.0,4,0.97891,46,,,,,
8,-503.56928,31.0,253,-1.0,4,0.9759649999999997,52,,,,,
9,-505.752686,42.0,295,-1.0,4,0.9719749999999999,61,,,,,
10,-502.762922,25.0,320,-1.0,4,0.9696000000000002,66,,,,,
11,-502.525196,46.0,366,-1.0,4,0.96523,75,,,,,
12,-517.058406,200.0,566,-1.0,4,0.94623,116,,,,,
13,-510.765511,178.0,744,-1.0,4,0.92932,151,,,,,
14,-530.188659,358.0,1102,-1.0,4,0.8953099999999997,224,1.586768627166748,3.9420855045318604,5.5288543701171875,101,0.0001
15,-517.13314,157.0,1259,-1.0,4,0.8803950000000001,255,1.570542335510254,3.936934471130371,5.507476806640625,258,0.0001
16,-507.47899,86.0,1345,-1.0,4,0.8722250000000004,273,1.5767724514007568,3.932438373565674,5.509210586547852,344,0.0001
17,497.117217,81.0,1426,1.0,4,0.8645299999999996,289,1.5508594512939453,0.032308127731084824,1.583167552947998,425,0.0001
18,-514.164,192.0,1618,-1.0,4,0.8462900000000002,328,1.55641508102417,19.562368392944336,21.118783950805664,617,0.0001
19,-500.362605,17.0,1635,-1.0,4,0.8446750000000003,331,1.5337191820144653,0.029877610504627228,1.5635968446731567,634,0.0001
20,-503.017065,17.0,1652,-1.0,4,0.8430600000000003,335,1.5252068042755127,3.9404513835906982,5.465658187866211,651,0.0001
21,-510.426075,114.0,1766,-1.0,4,0.8322299999999999,358,1.5359456539154053,0.034945908933877945,1.5708916187286377,765,0.0001
22,-518.129876,144.0,1910,-1.0,4,0.81855,387,1.5588144063949585,11.751823425292969,13.310637474060059,909,0.0001
23,-502.203,12.0,1922,-1.0,4,0.8174099999999999,390,1.5459864139556885,0.03917510062456131,1.585161566734314,921,0.0001
24,-505.194918,51.0,1973,-1.0,4,0.8125649999999998,400,1.5241687297821045,3.9408528804779053,5.46502161026001,972,0.0001
25,-503.624521,41.0,2014,-1.0,4,0.8086699999999996,409,1.5567190647125244,3.9417295455932617,5.498448371887207,1013,0.0001
26,-502.333754,28.0,2042,-1.0,4,0.8060100000000001,414,1.490617036819458,3.950324296951294,5.440941333770752,1041,0.0001
27,-507.512484,65.0,2107,-1.0,4,0.7998349999999997,428,1.5373077392578125,7.849129676818848,9.38643741607666,1106,0.0001
28,-513.700664,118.0,2225,-1.0,4,0.7886250000000001,452,1.5226283073425293,11.753753662109375,13.276382446289062,1224,0.0001
29,-520.959795,254.0,2479,-1.0,4,0.7644950000000003,503,1.4656660556793213,0.05408884584903717,1.5197548866271973,1478,0.0001
30,-506.419684,65.0,2544,-1.0,4,0.7583199999999999,516,1.5161147117614746,7.853076934814453,9.369192123413086,1543,0.0001
31,-520.156674,175.0,2719,-1.0,4,0.7416949999999995,551,1.5175634622573853,0.05307384580373764,1.5706373453140259,1718,0.0001
32,-502.262079,40.0,2759,-1.0,4,0.737895,559,1.510351538658142,7.8582963943481445,9.368647575378418,1758,0.0001
33,496.601874,79.0,2838,1.0,4,0.7303900000000004,575,1.5094809532165527,7.850771903991699,9.360252380371094,1837,0.0001
34,-518.965375,167.0,3005,-1.0,4,0.7145249999999999,609,1.4959641695022583,7.849628925323486,9.345593452453613,2004,0.0001
35,-522.745182,224.0,3229,-1.0,4,0.6932449999999997,654,1.484865427017212,11.767498970031738,13.252364158630371,2228,0.0001
36,-509.647954,73.0,3302,-1.0,4,0.6863099999999995,669,1.5077826976776123,7.868176460266113,9.375959396362305,2301,0.0001
37,-509.15698,97.0,3399,-1.0,4,0.6770950000000004,689,1.4933898448944092,7.866113662719727,9.359503746032715,2398,0.0001
38,-521.608409,272.0,3671,-1.0,4,0.6512549999999999,743,1.4940108060836792,0.056795284152030945,1.5508060455322266,2670,0.0001
39,499.917068,21.0,3692,1.0,4,0.6492600000000005,748,1.462374210357666,0.054061103612184525,1.5164352655410767,2691,0.0001
40,-505.635886,32.0,3724,-1.0,4,0.6462199999999996,754,1.501926302909851,3.9570651054382324,5.458991527557373,2723,0.0001
41,-514.247356,124.0,3848,-1.0,4,0.6344400000000004,779,1.4798312187194824,15.676429748535156,17.156261444091797,2847,0.0001
42,-508.498433,96.0,3944,-1.0,4,0.6253199999999997,799,1.5115227699279785,7.8533196449279785,9.364842414855957,2943,0.0001
43,-533.800731,429.0,4373,-1.0,4,0.5845649999999996,885,1.458324670791626,0.06810147315263748,1.5264261960983276,3372,0.0001
44,-502.165746,20.0,4393,-1.0,4,0.5826649999999998,889,1.4404734373092651,0.0666002482175827,1.5070736408233643,3392,0.0001
45,-502.444554,14.0,4407,-1.0,4,0.5813349999999995,892,1.5005230903625488,7.879670143127441,9.380193710327148,3406,0.0001
46,-500.235327,4.0,4411,-1.0,4,0.5809550000000001,893,1.4825153350830078,3.96913480758667,5.451650142669678,3410,0.0001
