status,time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_rew_mean,rollout/exploration_rate,rollout/ep_len_mean,time/fps,train/n_updates,train/loss,train/learning_rate
-1.0,145,1,29,-856.254711,0.9311250000000002,145.0,4,,,
-1.0,420,2,84,-695.705425,0.8004999999999999,275.0,4,,,
-1.0,747,3,150,-861.36401,0.645175,327.0,4,,,
-1.0,1247,4,250,539.44315,0.4076749999999999,500.0,4,246,5.535295486450195,0.0001
-1.0,1259,5,253,-238.675302,0.4019749999999994,12.0,4,258,4.1812567710876465,0.0001
-1.0,1462,6,293,613.388968,0.30555000000000065,203.0,4,461,4.459733009338379,0.0001
-1.0,1962,7,394,292.667279,0.0680500000000005,500.0,4,961,5.259228229522705,0.0001
-1.0,2462,8,494,559.307271,0.05,500.0,4,1461,6.397367477416992,0.0001
-1.0,2962,9,594,213.346986,0.05,500.0,4,1961,5.824626445770264,0.0001
-1.0,3062,10,615,604.899779,0.05,100.0,4,2061,7.31658935546875,0.0001
-1.0,3562,11,715,390.162661,0.05,500.0,4,2561,8.769201278686523,0.0001
-1.0,4062,12,815,182.453439,0.05,500.0,4,3061,8.283491134643555,0.0001
-1.0,4562,13,916,108.897647,0.05,500.0,4,3561,8.142623901367188,0.0001
-1.0,5062,14,1016,400.205605,0.05,500.0,4,4061,9.710603713989258,0.0001
-1.0,5562,15,1117,424.48822,0.05,500.0,4,4561,7.095843315124512,0.0001
-1.0,5713,16,1147,860.015689,0.05,151.0,4,4712,8.2034912109375,0.0001
-1.0,6213,17,1247,170.906525,0.05,500.0,4,5212,8.030832290649414,0.0001
-1.0,6713,18,1348,337.935104,0.05,500.0,4,5712,7.185518264770508,0.0001
-1.0,6719,19,1349,-231.541826,0.05,6.0,4,5718,7.947935581207275,0.0001
-1.0,7219,20,1450,-14.997228,0.05,500.0,4,6218,6.981871604919434,0.0001
-1.0,7719,21,1550,181.829368,0.05,500.0,4,6718,8.375441551208496,0.0001
-1.0,8219,22,1650,610.213748,0.05,500.0,4,7218,5.869148254394531,0.0001
-1.0,8719,23,1751,356.804731,0.05,500.0,4,7718,7.986747741699219,0.0001
-1.0,9219,24,1851,551.97483,0.05,500.0,4,8218,5.653625011444092,0.0001
-1.0,9282,25,1864,571.636431,0.05,63.0,4,8281,5.950898170471191,0.0001
-1.0,9782,26,1964,255.729983,0.05,500.0,4,8781,6.7509989738464355,0.0001
-1.0,10282,27,2065,428.675762,0.05,500.0,4,9281,4.596107482910156,0.0001
-1.0,10782,28,2165,295.974835,0.05,500.0,4,9781,5.50506591796875,0.0001
-1.0,11282,29,2265,543.421896,0.05,500.0,4,10281,4.650732040405273,0.0001
-1.0,11782,30,2366,558.042268,0.05,500.0,4,10781,4.4637131690979,0.0001
-1.0,12282,31,2466,-92.450899,0.05,500.0,4,11281,4.357376575469971,0.0001
-1.0,12782,32,2566,159.149543,0.05,500.0,4,11781,3.33162522315979,0.0001
-1.0,12906,33,2591,734.790263,0.05,124.0,4,11905,3.555354595184326,0.0001
-1.0,13406,34,2691,8665.383089,0.05,500.0,4,12405,10.200593948364258,0.0001
-1.0,13569,35,2724,782.155001,0.05,163.0,4,12568,14.738598823547363,0.0001
-1.0,14069,36,2825,322.102676,0.05,500.0,4,13068,24.45258331298828,0.0001
-1.0,14078,37,2827,259.344325,0.05,9.0,4,13077,20.589393615722656,0.0001
-1.0,14578,38,2927,333.309963,0.05,500.0,4,13577,18.628040313720703,0.0001
-1.0,15078,39,3027,356.299407,0.05,500.0,4,14077,12.494020462036133,0.0001
-1.0,15203,40,3053,676.644176,0.05,125.0,4,14202,11.815072059631348,0.0001
-1.0,15703,41,3153,276.595659,0.05,500.0,4,14702,6.557534694671631,0.0001
-1.0,16203,42,3253,416.381035,0.05,500.0,4,15202,12.570500373840332,0.0001
-1.0,16703,43,3354,256.54785,0.05,500.0,4,15702,22.57925796508789,0.0001
-1.0,17203,44,3454,684.707894,0.05,500.0,4,16202,18.891799926757812,0.0001
-1.0,17703,45,3554,524.660233,0.05,500.0,4,16702,11.568224906921387,0.0001
-1.0,18203,46,3655,428.603084,0.05,500.0,4,17202,20.281509399414062,0.0001
-1.0,18703,47,3755,198.021545,0.05,500.0,4,17702,14.061454772949219,0.0001
-1.0,18788,48,3772,520.691183,0.05,85.0,4,17787,12.531225204467773,0.0001
-1.0,18796,49,3774,-182.494743,0.05,8.0,4,17795,21.992271423339844,0.0001
-1.0,18943,50,3804,470.985903,0.05,147.0,4,17942,16.802278518676758,0.0001
-1.0,19103,51,3836,542.940527,0.05,160.0,4,18102,21.817615509033203,0.0001
-1.0,19111,52,3838,-214.337262,0.05,8.0,4,18110,19.405927658081055,0.0001
-1.0,19290,53,3874,760.291544,0.05,179.0,4,18289,13.058284759521484,0.0001
-1.0,19418,54,3899,695.792574,0.05,128.0,4,18417,7.521872043609619,0.0001
-1.0,19899,55,3996,750.454855,0.05,481.0,4,18898,13.599916458129883,0.0001
