time/total_timesteps,status,rollout/ep_len_mean,rollout/exploration_rate,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/n_updates,train/learning_rate,train/loss
119,-1.0,119.0,0.9886949999999998,1,24,-416.351153,4,,,
157,-1.0,38.0,0.9850850000000004,2,32,-10.785721,4,,,
567,-1.0,410.0,0.9461350000000005,3,114,248.324394,4,366,0.0001,4.663928508758545
579,-1.0,12.0,0.9449950000000004,4,117,-267.787257,4,378,0.0001,9.804300308227539
710,-1.0,131.0,0.9325500000000001,5,143,-1746.709841,4,509,0.0001,5.915348529815674
822,-1.0,112.0,0.92191,6,166,-521.884872,4,621,0.0001,7.079483985900879
913,-1.0,91.0,0.9132650000000002,7,184,-15.792035,4,712,0.0001,7.645164489746094
1322,1.0,409.0,0.8744099999999999,8,266,758.902089,4,1121,0.0001,6.8183698654174805
1822,0.0,500.0,0.8269099999999999,9,367,108.792271,4,1621,0.0001,7.970605850219727
2322,0.0,500.0,0.7794099999999998,10,467,273.305509,4,2121,0.0001,9.2894868850708
2352,-1.0,30.0,0.7765600000000001,11,473,-316.45996,4,2151,0.0001,8.177679061889648
2362,-1.0,10.0,0.7756100000000002,12,475,-203.877682,4,2161,0.0001,8.375896453857422
