rollout/ep_rew_mean,status,rollout/ep_len_mean,time/time_elapsed,time/fps,time/episodes,time/total_timesteps,rollout/exploration_rate,train/n_updates,train/loss,train/learning_rate
-72.892976,-1.0,240.0,48,4,1,240,0.8859999999999999,,,
-72.710284,-1.0,50.0,58,4,2,290,0.8622500000000004,,,
-746.392706,-1.0,81.0,75,4,3,371,0.8237750000000004,,,
68.620961,-1.0,191.0,113,4,4,562,0.73305,,,
-63.872203,-1.0,132.0,140,4,5,694,0.6703500000000004,,,
-715.754523,-1.0,120.0,164,4,6,814,0.6133500000000005,,,
584.127887,-1.0,500.0,264,4,7,1314,0.37585000000000024,313,4.029829978942871,0.0001
319.550078,-1.0,500.0,365,4,8,1814,0.13834999999999997,813,6.143766403198242,0.0001
257.540248,-1.0,500.0,465,4,9,2314,0.05,1313,5.869853973388672,0.0001
449.720038,-1.0,500.0,565,4,10,2814,0.05,1813,7.8411993980407715,0.0001
